differenza_di_frequenza,numero_cella_x,numero_cella_y,squadra_dominante,tipo_griglia
0.04196969060030267,0,0,France,frequenza_eventi
0.00821142312650636,0,1,France,frequenza_eventi
0.03549758982119836,0,2,France,frequenza_eventi
0.02562916876856678,0,3,France,frequenza_eventi
0.010921122694916203,0,4,France,frequenza_eventi
0.03750840760047083,1,0,France,frequenza_eventi
0.019025699232105828,1,1,France,frequenza_eventi
0.004189787567961442,1,2,France,frequenza_eventi
0.011751373241410235,1,3,France,frequenza_eventi
0.014366487304523286,1,4,France,frequenza_eventi
0.0035487080320609835,2,0,France,frequenza_eventi
0.0069450283055882515,2,1,France,frequenza_eventi
0.01715851129420997,2,2,France,frequenza_eventi
0.013573020010089119,2,3,France,frequenza_eventi
0.008873521663583878,2,4,France,frequenza_eventi
0.002862087326943555,3,0,France,frequenza_eventi
0.02276708144162323,3,1,France,frequenza_eventi
0.0009458550529678825,3,2,France,frequenza_eventi
0.025974230704556914,3,3,France,frequenza_eventi
0.025299871083459456,3,4,France,frequenza_eventi
0.0225656493470097,4,0,France,frequenza_eventi
0.02159527212600191,4,1,France,frequenza_eventi
0.014045947536573062,4,2,France,frequenza_eventi
0.011796914410627208,4,3,France,frequenza_eventi
0.020447984978420496,4,4,France,frequenza_eventi
0.015941048199112715,0,0,France,frequenza_passaggi_accurati
0.013610045868110383,0,1,France,frequenza_passaggi_accurati
0.009136025265057524,0,2,France,frequenza_passaggi_accurati
0.004849988720956464,0,3,France,frequenza_passaggi_accurati
0.0007143394240168438,0,4,France,frequenza_passaggi_accurati
0.0718475073313783,1,0,France,frequenza_passaggi_accurati
0.043875479359350336,1,1,France,frequenza_passaggi_accurati
0.0052259568388600686,1,2,France,frequenza_passaggi_accurati
0.004173246108729975,1,3,France,frequenza_passaggi_accurati
0.016880968493871717,1,4,France,frequenza_passaggi_accurati
0.0017670501541469236,2,0,France,frequenza_passaggi_accurati
0.05177080983532597,2,1,France,frequenza_passaggi_accurati
0.032483645386871186,2,2,France,frequenza_passaggi_accurati
0.027633656665914726,2,3,France,frequenza_passaggi_accurati
0.03331077524625912,2,4,France,frequenza_passaggi_accurati
0.0055267313331829465,3,0,France,frequenza_passaggi_accurati
0.05218437476501993,3,1,France,frequenza_passaggi_accurati
0.0181216632829536,3,2,France,frequenza_passaggi_accurati
0.05094367997593804,3,3,France,frequenza_passaggi_accurati
0.027633656665914726,3,4,France,frequenza_passaggi_accurati
0.013271674561997142,4,0,France,frequenza_passaggi_accurati
0.0,4,1,France,frequenza_passaggi_accurati
0.004662004662004662,4,2,France,frequenza_passaggi_accurati
0.016129032258064516,4,3,France,frequenza_passaggi_accurati
0.0055643281449733045,4,4,France,frequenza_passaggi_accurati
0.0,0,0,France,frequenza_tiri
0.0,0,1,France,frequenza_tiri
0.0,0,2,France,frequenza_tiri
0.0,0,3,France,frequenza_tiri
0.0,0,4,France,frequenza_tiri
0.0,1,0,France,frequenza_tiri
0.0,1,1,France,frequenza_tiri
0.0,1,2,France,frequenza_tiri
0.0,1,3,France,frequenza_tiri
0.0,1,4,France,frequenza_tiri
0.0,2,0,France,frequenza_tiri
0.0,2,1,France,frequenza_tiri
0.0,2,2,France,frequenza_tiri
0.0,2,3,France,frequenza_tiri
0.0,2,4,France,frequenza_tiri
0.0,3,0,France,frequenza_tiri
0.14285714285714285,3,1,France,frequenza_tiri
0.07142857142857142,3,2,France,frequenza_tiri
0.21428571428571427,3,3,France,frequenza_tiri
0.0,3,4,France,frequenza_tiri
0.0,4,0,France,frequenza_tiri
0.2142857142857143,4,1,France,frequenza_tiri
0.0,4,2,France,frequenza_tiri
0.07142857142857142,4,3,France,frequenza_tiri
0.0,4,4,France,frequenza_tiri
0.0,0,0,France,frequenza_falli_subiti
0.0,0,1,France,frequenza_falli_subiti
0.07692307692307693,0,2,France,frequenza_falli_subiti
0.0,0,3,France,frequenza_falli_subiti
0.07692307692307693,0,4,France,frequenza_falli_subiti
0.23076923076923078,1,0,France,frequenza_falli_subiti
0.15384615384615385,1,1,France,frequenza_falli_subiti
0.07692307692307693,1,2,France,frequenza_falli_subiti
0.0,1,3,France,frequenza_falli_subiti
0.23076923076923078,1,4,France,frequenza_falli_subiti
0.0,2,0,France,frequenza_falli_subiti
0.15384615384615385,2,1,France,frequenza_falli_subiti
0.07692307692307693,2,2,France,frequenza_falli_subiti
0.0,2,3,France,frequenza_falli_subiti
0.15384615384615385,2,4,France,frequenza_falli_subiti
0.0,3,0,France,frequenza_falli_subiti
0.07692307692307693,3,1,France,frequenza_falli_subiti
0.15384615384615385,3,2,France,frequenza_falli_subiti
0.07692307692307693,3,3,France,frequenza_falli_subiti
0.07692307692307693,3,4,France,frequenza_falli_subiti
0.0,4,0,France,frequenza_falli_subiti
0.0,4,1,France,frequenza_falli_subiti
0.0,4,2,France,frequenza_falli_subiti
0.07692307692307693,4,3,France,frequenza_falli_subiti
0.0,4,4,France,frequenza_falli_subiti
